Applicant Name,Email,Phone,Domain Applied,University,Application Date,Status
Carlos Ortiz,yruiz@example.org,311-947-5405,Web Development,Stuart-Davis,2026-06-23,Rejected
Karen Williams,steven57@example.org,001-967-781-3165x74894,Graphic Design,"Harris, Hines and Reed",2026-06-13,Rejected
Matthew Smith,lbailey@example.org,(952)826-1584,Data Science,Kaufman-Bradford,2026-05-14,Rejected
Laura Banks,hturner@example.com,+1-899-854-8102,Cyber Security,Foster and Sons,2026-07-07,Under Review
Daryl Bates,ewalker@example.net,+1-553-936-9153,Data Science,Porter Inc,2026-04-27,Selected
Mark Powell,,273-943-0476,Cyber Security,Lopez-Allen,2026-05-31,Selected
Nancy Torres,andreawilliams@example.net,316-520-5668,AI,"Sanchez, Buchanan and Park",2026-04-06,Selected
Perry Davis,myersmartha@example.com,001-811-985-5942,Graphic Design,Thomas-Strong,2026-07-01,Rejected
Lauren Taylor,mcantrell@example.net,420-208-1779x627,Graphic Design,,2026-06-19,Under Review
Michael Frazier,jacobdixon@example.org,(288)774-0464,Data Science,Smith-Anderson,2026-06-20,Rejected
Daniel Mendoza,williamsdylan@example.net,001-882-557-5977x74541,Web Development,Johnston-Williams,2026-05-03,
Michael Matthews,danielharris@example.net,641-246-7256x46027,Graphic Design,Dixon PLC,2026-04-25,Selected
Matthew Clark,mary01@example.net,(310)460-0602,Data Science,Blankenship PLC,2026-07-09,Selected
Brett Arnold,nlucas@example.com,+1-477-730-3580x60451,Graphic Design,Curtis-Johnson,2026-04-10,Under Review
Monica Murillo,kennethharris@example.com,001-601-295-2331,Data Science,"Thomas, Rodgers and Higgins",2026-06-10,Rejected
,joneselizabeth@example.org,001-368-558-9822x1785,Cyber Security,"Cannon, Brown and Francis",2026-06-24,Selected
Matthew Graham,mitchellyolanda@example.org,(915)463-5500,AI,"Jones, Hill and Ball",2026-06-19,Rejected
Andrea Hill,christine47@example.com,544.969.3365x4256,Graphic Design,Richards Group,2026-06-04,Rejected
William Mitchell,boyermaria@example.org,955.939.8423,AI,Gonzalez PLC,2026-06-06,Selected
Melissa Wilkinson,danielsadam@example.net,(305)257-8410x9932,Data Science,"Carr, Wilson and Chen",2026-03-30,Rejected
Elijah Foster,ostephens@example.com,001-859-704-3039,web dev,"Smith, Johnson and Casey",2026-05-25,Rejected
Nicole Olson,elawson@example.com,842-956-9229,WEB DEV,Hill LLC,2026-06-22,Selected
Steven Taylor,thomas05@example.com,(458)795-3393x3530,web development,Malone LLC,2026-05-24,Selected
Emily Irwin,scott13@example.org,+1-274-540-3311x1157,AI,Reynolds-Clark,2026-06-28,Selected
Antonio Porter,carollarsen@example.com,3906990567,Graphic Design,Schultz-Cooper,2026-05-19,Selected
Garrett Morris,kylejohnson@example.net,358.623.7410,Data Science,"Pearson, Walters and Gonzalez",2026-06-05,Selected
Christine Harris,alexanderpatterson@example.net,360.860.2100x88719,AI,Robinson Ltd,2026-05-01,Selected
Melissa Perez,tabitha33@example.org,574.603.9933,Data Science,"King, Moon and Chen",2026-05-12,Under Review
Robert Jones,bishopjonathan@example.com,225-898-0910x5761,AI,"Winters, Dominguez and Haney",2026-07-15,Rejected
Mary Vega,ostevens@example.org,001-480-787-1884x3625,Web Development,"Huang, Jackson and Medina",2026-05-21,Selected
Courtney Burch,annacook@example.org,(371)708-4662x79392,AI,Mcdonald Inc,12/05/2026,Under Review
Christine Lutz,oscar89@example.com,265.934.0725,Data Science,Estrada PLC,2026/06/01,Under Review
Virginia Collier,aaronstout@example.org,4563444484,Web Development,Odonnell-Roberts,2026-04-28,Under Review
Debra Johnson,julie28@example.org,(738)422-2100,Data Science,Moore-Taylor,2026-04-24,Rejected
Patrick Wallace,amy64@example.net,(380)971-8231x8967,Data Science,"Dixon, Fisher and Williams",2026-07-15,Selected
Paula Macias,kramirez@example.com,7475341472,Cyber Security,Flores-Nguyen,2026-04-30,Under Review
Heather Lopez,hgreen@example.net,+1-614-990-7955x32782,Cyber Security,Walsh PLC,2026-03-27,Under Review
Jason Henderson,montessara@example.net,+1-996-874-3592,Web Development,"Black, Jimenez and Williams",2026-05-01,Rejected
Audrey Hayden,howardcynthia@example.com,(546)868-0300x13594,Cyber Security,"Reed, Smith and Strickland",2026-04-21,Rejected
Nancy Peters,katherinemcfarland@example.net,001-819-721-5893x590,Cyber Security,"Jones, Ray and Gutierrez",2026-06-07,Rejected
Dominique Hoover,joshua22@example.net,509-828-0411,Cyber Security,White-Martinez,2026-06-22,Under Review
Joe Gutierrez,frank61@example.com,614-967-9557,Cyber Security,"Dominguez, Dean and Gross",2026-06-21,Rejected
Sarah Rodriguez,leeangela@example.org,+1-779-926-4792,Web Development,Santiago PLC,2026-07-16,Rejected
